kost_name_rough,kota,type_kos,area,facility_score,harga_nomina
Kost Anugerah Jl Citarum Tengah No 1 Tipe A Semarang,semarang,putri,semarang timur,2,750000
Kost Anugerah Jl Citarum Tengah No 1 Tipe B Semarang,semarang,putri,semarang timur,4,850000
Kost Pantes Kota Lama Semarang Tengah,semarang,campur,semarang tengah,6,2499000
Kost Pantes Semawis Semarang Tengah Semarang,semarang,campur,semarang tengah,6,3750000
Kost DS CoLive  34 Pecinan Semarang Tengah,semarang,campur,semarang tengah,6,2000000
Kost Ibu Azizah Semarang Timur,semarang,putri,semarang timur,2,500000
Kost Keluarga Citarum Semarang Timur,semarang,campur,semarang timur,0,550000
Kost Harian Kita A Gayamsari Semarang,semarang,campur,gayamsari,4,850000
Kost Harian Kita Jl.  karang Ingas Tipe B Gayamsari Semarang,semarang,campur,gayamsari,4,2600000
Kost Belakang Rumah Mami Semarang Timur,semarang,putri,semarang timur,2,400000
kost Bu Yanti Berkah Gayamsari Semarang,semarang,campur,gayamsari,2,400000
Kost Griya Rejosari Semarang Timur,semarang,campur,semarang timur,4,1500000
Kost Kentangan House Semarang,semarang,putri,semarang tengah,2,700000
Kost Rejosari Semarang Timur,semarang,campur,semarang timur,4,450000
Kost Wisma DS Semarang Timur,semarang,putri,semarang timur,4,1000000
Kost Melati Bu Dwi Tipe A Ungaran Barat Semarang,semarang,putri,ungaran barat,4,800000
Kost Marella Residence Ungaran Barat Semarang,semarang,campur,ungaran barat,6,1500000
Kost Guest House Timlo Solo Tipe A Ungaran Barat Semarang,semarang,campur,ungaran barat,6,2200000
Kost De Uno House Ungaran Timur Semarang,semarang,campur,ungaran timur,4,1000000
Kost Otin Ungaran Barat Semarang,semarang,putri,ungaran barat,2,475000
Kost Putri Pak Mahsun Ungaran Semarang,semarang,putri,ungaran timur,2,400000
Kost Griya Undaris Ungaran Timur Semarang,semarang,campur,ungaran timur,4,1600000
Kost Homy Dliwang Ungaran Barat Semarang,semarang,putri,ungaran barat,2,500000
Kost Pondok Melati Ungaran Barat Semarang,semarang,putri,ungaran barat,0,550000
Kost Kanaya Sidomulyo Ungaran Timur,semarang,putri,ungaran timur,4,500000
Kost Zaskia Ungaran Barat Semarang,semarang,campur,ungaran barat,4,480000
Kost Dliwang Tipe A Ungaran Barat Semarang,semarang,putri,ungaran barat,2,500000
Kost Graha Undaris Ungaran Timur Semarang,semarang,putri,ungaran timur,4,1300000
Kost Bu Dewi Ungaran Timur Semarang,semarang,putri,ungaran timur,4,600000
Kost Bu Sri Karanbolo Ungaran Barat Semarang,semarang,putri,ungaran barat,4,650000
Kost Mr.1 Ungaran Barat Semarang,semarang,putra,ungaran barat,4,1350000
Kost Eksklusif Ngaliyan Semarang,semarang,putri,ngaliyan,2,900000
Kost Van Daroe Tipe D Ngaliyan Semarang,semarang,putra,ngaliyan,0,650000
Kost Van Daroe Tipe B Ngaliyan Semarang,semarang,campur,ngaliyan,6,2500000
Kost Van Daroe Tipe C Ngaliyan Semarang,semarang,putra,ngaliyan,0,600000
Kost Pak Suroto Ngaliyan Semarang,semarang,putra,ngaliyan,4,350000
Kost Industri Candi Ngaliyan Semarang,semarang,campur,ngaliyan,6,550000
Kost Nafisah Ngaliyan Semarang,semarang,putri,ngaliyan,4,1200000
Kost Permata Eksekutif Ngaliyan Semarang,semarang,campur,ngaliyan,6,1200000
Kost Akio Tipe A Ngaliyan Semarang,semarang,campur,ngaliyan,2,550000
Kost Akio TipeB Ngaliyan Semarang,semarang,campur,ngaliyan,4,1200000
Kost Annisa Ngaliyan Semarang,semarang,putri,ngaliyan,2,400000
Kost Attic Ngaliyan Semarang,semarang,putri,ngaliyan,2,500000
Kost Shafira BPI Ngaliyan Semarang,semarang,putri,ngaliyan,4,600000
Kost Wisma Beji Ngaliyan Semarang,semarang,putri,ngaliyan,4,600000
Kost Wisma Basae Ngaliyan Semarang,semarang,putri,ngaliyan,4,700000
Kost Khalisa 2 Ngaliyan Semarang,semarang,putri,ngaliyan,2,900000
Kost Candi Intan II Tipe A Ngaliyan Semarang,semarang,putra,ngaliyan,2,550000
Kost Pipit Ngaliyan Semarang,semarang,putra,ngaliyan,0,350000
Kost Ibu Eni Kliwonan Ngaliyan Semarang,semarang,putra,ngaliyan,4,500000
Kost Tetelu Tembalang Semarang,semarang,putri,tembalang,2,650000
Kost Putri Perumda Baru Tembalang Semarang,semarang,putri,tembalang,0,600000
Kost Adalina Banyumanik Semarang,semarang,putri,banyumanik,6,1500000
Kost Ganesha Shelter Bulusan Tembalang Semarang,semarang,putra,tembalang,4,800000
Kost Iwenisari Tembalang Semarang,semarang,putra,tembalang,4,550000
Kost Cozy Tembalang Semarang,semarang,putri,tembalang,6,550000
Kost Savannah Tembalang Semarang,semarang,putri,tembalang,4,1000000
Kost Golden Historian Tembalang Semarang,semarang,putra,tembalang,4,500000
Kost Corvette Tembalang Semarang,semarang,putra,tembalang,4,700000
Kost Pandawa Banyumanik Semarang,semarang,putra,banyumanik,6,1200000
Kost Wisma Naufal Tembalang Semarang,semarang,putra,tembalang,2,450000
Kost Hosana Tembalang Semarang,semarang,putri,tembalang,4,450000
