texts,kota,type_kos,area,fasilitas,harga_nomina
"Putri
 
	Sisa 2 Kamar
   
				Kost Griya Permai Semarang Utara
			  Semarang Timur 
				Akses 24 Jam
			     
							Rp 450.000
						 
							/ bulan
						  4.6",semarang,Putri,Semarang Timur,['Akses 24 Jam'],450000
"Putra
 
	Sisa 1 Kamar
   
				Kost Pakowa House Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.000.000
						 
							/ bulan",semarang,Putra,Tembalang,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1000000
"Putra
    
				Kost Valencia Tipe A Banyumanik Semarang
			  Banyumanik 
				WiFi
			     
							Rp 700.000
						 
							/ bulan",semarang,Putra,Banyumanik,['WiFi'],700000
"Putra
    
				Kost Putra Wisma Ulina Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 600.000
						 
							/ bulan",semarang,Putra,Tembalang,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",600000
"Putri
 
	Sisa 1 Kamar
   
				Kost Griya Sakinah Tipe B Tembalang Semarang
			  Tembalang 
				WiFi
			     
							Rp 675.000
						 
							/ bulan",semarang,Putri,Tembalang,['WiFi'],675000
"Putri
    
				Kost Putri Wisma Ulina Tipe B Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi
			     
							Rp 600.000
						 
							/ bulan",semarang,Putri,Tembalang,"['K. Mandi Dalam','WiFi']",600000
"Putri
 
	Sisa 4 Kamar
   
				Kost Griya Sakinah Tipe A Tembalang Semarang
			  Tembalang 
				WiFi
			     
							Rp 650.000
						 
							/ bulan",semarang,Putri,Tembalang,['WiFi'],650000
"Putri
 
	Sisa 1 Kamar
   
				Kost Griya Sakinah Tipe D Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi
			     
							Rp 800.000
						 
							/ bulan",semarang,Putri,Tembalang,"['K. Mandi Dalam ', ' WiFi']",800000
"Campur
 
	Sisa 2 Kamar
   
				Kost Cordova Edupartment Semarang
			  Banyumanik 
				K. Mandi Dalam
			     
							Rp 3.500.000
						 
							/ bulan",semarang,Campur,Banyumanik,['K. Mandi Dalam'],3500000
"Putri
 
	Sisa 4 Kamar
   
				Kost Rumah Cemara Undip Tembalang Semarang
			  Bulusan 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.100.000
						 
							/ bulan",semarang,Putri,Bulusan,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1100000
"Putri
 
	Sisa 2 Kamar
   
				Kost Kelila Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 650.000
						 
							/ bulan
						  5.0",semarang,Putri,Tembalang,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",650000
"Putri
    
				Kost Exclusive D'Rosse Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.800.000
						 
							/ bulan",semarang,Putri,Tembalang,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1800000
"Kos Andalan
 
	Putra
    
				Kost Ekslusif Hata 1 Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.200.000
						 
							/ bulan
						  4.5",semarang,Putra,Tembalang,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1200000
"Campur
    
				Kost Omah Sultan Tembalang Semarang
			  Tembalang 
				WiFi · Akses 24 Jam
			     
							Rp 1.000.000
						 
							/ bulan",semarang,Campur,Tembalang,"['WiFi','Akses 24 Jam']",1000000
"Kos Andalan
 
	Putri
    
				Kost 32 Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 700.000
						 
							/ bulan
						  5.0",semarang,Putri,Tembalang,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",700000
"Kos Andalan
 
	Putra
    
				Kost Griya Koboy Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 850.000
						 
							/ bulan",semarang,Putra,Tembalang,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",850000
"Putri
 
	Sisa 1 Kamar
   
				Kost  Putri Wisma Ulina Tipe A Tembalang Semarang
			  Tembalang 
				WiFi
			     
							Rp 500.000
						 
							/ bulan
						  2.5",semarang,Putri,Tembalang,['WiFi'],500000
"Putri
 
	Sisa 1 Kamar
   
				Kost Shafa Bulusan Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi
			     
							Rp 575.000
						 
							/ bulan",semarang,Putri,Tembalang,"['K. Mandi Dalam ', ' WiFi']",575000
"Kos Andalan
 
	Putra
    
				Kost Putra Dorgiocavall Bulusan Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.200.000
						 
							/ bulan
						  4.2",semarang,Putra,Tembalang,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1200000
"Putri
    
				Kost Anindya Tembalang Semarang
			  Tembalang 
				WiFi
			     
							Rp 600.000
						 
							/ bulan
						  5.0",semarang,Putri,Tembalang,['WiFi'],600000
"Putri
 
	Sisa 1 Kamar
   
				Kost Flamboyan Undip Tembalang Semarang
			  Tembalang 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.000.000
						 
							/ bulan",semarang,Putri,Tembalang,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1000000
"Putra
 
	Sisa 1 Kamar
   
				Kost Bu Siane Tipe A Gajahmungkur Semarang
			  Gajahmungkur 
				Akses 24 Jam
			     
							Rp 450.000
						 
							/ bulan",semarang,Putra,Gajahmungkur,['Akses 24 Jam'],450000
"Putra
 
	Sisa 2 Kamar
   
				Kost Fitria Gajahmungkur Semarang
			  Gajahmungkur 
				
			     
							Rp 300.000
						 
							/ bulan",semarang,Putra,Gajahmungkur,[''],300000
"Campur
 
	Sisa 1 Kamar
   
				Kost Menoreh Timur Tipe B Gajahmungkur Semarang
			  Gajahmungkur 
				WiFi · Akses 24 Jam
			     
							Rp 650.000
						 
							/ bulan",semarang,Campur,Gajahmungkur,"['WiFi ', ' Akses 24 Jam']",650000
"Kos Andalan
 
	Putri
    
				Kost Exclusive Menoreh Gajahmungkur Semarang
			  Gajahmungkur 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.500.000
						 
							/ bulan
						  4.8",semarang,Putri,Gajahmungkur,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1500000
"Putri
 
	Sisa 2 Kamar
   
				Kost Menoreh Dua Satu Tipe B Sampangan Gajahmungkur Semarang
			  Gajahmungkur 
				WiFi
			     
							Rp 400.000
						 
							/ bulan",semarang,Putri,Gajahmungkur,['WiFi'],400000
"Campur
 
	Sisa 2 Kamar
   
				Kost Griya Stonen Tipe A Gajahmungkur Semarang
			  Gajahmungkur 
				K. Mandi Dalam · Akses 24 Jam
			     
							Rp 1.500.000
						 
							/ bulan",semarang,Campur,Gajahmungkur,"['K. Mandi Dalam ', ' Akses 24 Jam']",1500000
"Putri
 
	Sisa 2 Kamar
   
				Kost Green House Nawra's Semarang Barat
			  Semarang Barat 
				K. Mandi Dalam · Akses 24 Jam
			     
							Rp 700.000
						 
							/ bulan",semarang,Putri,Semarang Barat,"['K. Mandi Dalam ', ' Akses 24 Jam']",700000
"Kos Andalan
 
	Campur
    
				Kost 22 Jl Lamongan Barat 6 Tipe A Gajah Mungkur Semarang
			  Gajahmungkur 
				WiFi
			     
							Rp 650.000
						 
							/ bulan",semarang,Campur,Gajahmungkur,['WiFi'],650000
"Campur
 
	Sisa 2 Kamar
   
				Kost Tipe A Gajahmungkur Semarang
			  Gajahmungkur 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 900.000
						 
							/ bulan",semarang,Campur,Gajahmungkur,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",900000
"Putri
 
	Sisa 1 Kamar
   
				Kost Andalus Tipe B Gajahmungkur Semarang
			  Gajahmungkur 
				WiFi · Akses 24 Jam
			     
							Rp 750.000
						 
							/ bulan",semarang,Putri,Gajahmungkur,"['WiFi ', ' Akses 24 Jam']",750000
"Putra
    
                                Kost Griya Utama Homestay Gajah Mungkur Semarang
                          Gunung Pati 
                                
                             
                                                        Rp 450.000
                                                 
                                                        / bulan",semarang,Putra,Gunung Pati,[''],450000
"Putri
 
	Sisa 4 Kamar
   
				Kost Ais Gajahmungkur Semarang 
			  Gajahmungkur 
				WiFi · Akses 24 Jam
			     
							Rp 650.000
						 
							/ bulan",semarang,Putri,Gajahmungkur,"['WiFi ', ' Akses 24 Jam']",650000
"Campur
    
				Kost Pondoke Nilam Gedong Songo Semarang Barat
			  Semarang Barat 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 950.000
						 
							/ bulan
						  4.6",semarang,Campur,Semarang Barat,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",950000
"Campur
 
	Sisa 1 Kamar
   
				Kost Koko Simongan Manyaran Semarang
			  Semarang Barat 
				WiFi
			     
							Rp 500.000
						 
							/ bulan",semarang,Campur,Semarang Barat,['WiFi'],500000
